timestamp,zone_id,demand_mw,demand_forecast_mw,price_per_mwh,temp_c,humidity,wind_speed,precipitation
2024-01-01 01:00:00+00,NYISO,18063,17459,NaN,2.4,75,6.2,0
2024-01-01 02:00:00+00,NYISO,17509,17032,NaN,1.9,81,6.9,0
2024-01-01 03:00:00+00,NYISO,16945,16517,NaN,2.6,77,5.4,0.3
2024-01-01 04:00:00+00,NYISO,16344,15875,NaN,3.1,82,3.5,0
2024-01-01 05:00:00+00,NYISO,15742,15265,24.566666666666666,3.5,74,2.6,0
2024-01-01 06:00:00+00,NYISO,15193,14777,22.53933333333333,3.3,81,1.1,0
2024-01-01 07:00:00+00,NYISO,14761,14350,21.881333333333334,3.2,85,2.4,0
2024-01-01 08:00:00+00,NYISO,14359,13960,21.555333333333333,3.2,85,3.3,0
2024-01-01 09:00:00+00,NYISO,14103,13728,21.590666666666667,2.1,92,5.4,0
2024-01-01 10:00:00+00,NYISO,14063,13667,23.136666666666667,2,92,3.8,0.1
2024-01-01 11:00:00+00,NYISO,14269,13861,24.721999999999998,1,94,5.9,0
2024-01-01 12:00:00+00,NYISO,14686,14247,23.453333333333333,0.2,94,6.4,0
2024-01-01 13:00:00+00,NYISO,15061,14533,24.77466666666667,2.2,91,6.2,0.1
2024-01-01 14:00:00+00,NYISO,15386,14647,24.748,3.4,89,6.6,0
2024-01-01 15:00:00+00,NYISO,15661,14768,25.733333333333334,5.2,80,6.4,0
2024-01-01 16:00:00+00,NYISO,15831,14939,25.894000000000002,6.2,74,6.5,0
2024-01-01 17:00:00+00,NYISO,15918,15124,25.758,6.8,70,6.8,0
2024-01-01 18:00:00+00,NYISO,16021,15262,25.787333333333333,7.5,66,6.8,0
2024-01-01 19:00:00+00,NYISO,16305,15425,26.54866666666667,7.7,65,7.1,0
2024-01-01 20:00:00+00,NYISO,16646,15759,28.976,7.8,62,9,0
2024-01-01 21:00:00+00,NYISO,17116,16315,34.242,7.4,64,6.9,0
2024-01-01 22:00:00+00,NYISO,18043,17248,41.616,6.7,67,6.5,0
2024-01-01 23:00:00+00,NYISO,18862,18250,36.562,6.5,67,7.6,0
2024-01-02 00:00:00+00,NYISO,18771,18171,32.82666666666667,5.9,69,8.3,0
2024-01-02 01:00:00+00,NYISO,18525,17885,30.915333333333333,5.3,69,11.9,0
2024-01-02 02:00:00+00,NYISO,18108,17473,29.329333333333334,4.2,71,11.4,0
2024-01-02 03:00:00+00,NYISO,17513,16880,27.030666666666665,2.9,72,13.1,0
